1000, 3000
14, 999
1, 0, 8.3
2, 1, 7.7
3, 1, 9.3
4, 0, 8.6
5, 1, 4.9
6, 1, 6.2
7, 4, 9
8, 6, 6.3
9, 0, 4
10, 6, 7.2
11, 8, 1.1
12, 9, 6.7
13, 5, 8.2
14, 13, 6.2
15, 10, 6.7
16, 10, 2.9
17, 0, 2.2
18, 3, 6.9
19, 15, 9.3
20, 2, 1.1
21, 18, 2.9
22, 1, 2.1
23, 1, 8.4
24, 20, 9.8
25, 20, 1.5
26, 24, 1.3
27, 26, 9.1
28, 9, 5.6
29, 0, 6.2
30, 1, 9.6
31, 21, 0.5
32, 7, 8.4
33, 20, 3.6
34, 5, 4.6
35, 7, 1.3
36, 27, 2.4
37, 19, 8.2
38, 13, 1.4
39, 23, 3.4
40, 30, 4.3
41, 32, 8.7
42, 14, 7.6
43, 9, 8.8
44, 43, 0.3
45, 19, 5.4
46, 18, 3.2
47, 21, 7.6
48, 28, 3.9
49, 20, 2.6
50, 39, 9.4
51, 16, 9.5
52, 2, 3.4
53, 44, 6.7
54, 38, 9.7
55, 52, 1.7
56, 36, 5.2
57, 23, 0.1
58, 57, 8.6
59, 14, 6.5
60, 59, 4.4
61, 11, 4
62, 31, 3.1
63, 11, 9.7
64, 51, 8.1
65, 32, 0.9
66, 16, 6.7
67, 48, 9.7
68, 5, 8.6
69, 23, 0.6
70, 54, 1.9
71, 49, 2.8
72, 53, 3.2
73, 4, 0.3
74, 10, 7
75, 65, 0.8
76, 5, 4
77, 4, 9.6
78, 73, 1.8
79, 19, 4.6
80, 35, 2.1
81, 61, 7.9
82, 22, 6.4
83, 68, 4.1
84, 76, 9.3
85, 34, 3.4
86, 56, 2.4
87, 83, 8.7
88, 59, 4.3
89, 20, 2.7
90, 16, 5.9
91, 11, 3.2
92, 4, 3.7
93, 77, 7.5
94, 75, 7.4
95, 65, 5.8
96, 85, 2.9
97, 16, 3.5
98, 82, 1.8
99, 51, 4.3
100, 29, 2.8
101, 31, 7.6
102, 85, 4.3
103, 81, 1.3
104, 80, 0.6
105, 58, 0.4
106, 18, 2.8
107, 62, 6.9
108, 36, 1.7
109, 63, 2.4
110, 73, 7
111, 83, 9
112, 85, 7.2
113, 6, 4.4
114, 5, 0.5
115, 76, 5.4
116, 10, 6.9
117, 89, 4.2
118, 45, 9.7
119, 6, 5.5
120, 11, 4.8
121, 44, 2.2
122, 5, 9.9
123, 5, 4.6
124, 2, 4
125, 60, 1.1
126, 43, 0.5
127, 50, 6.1
128, 41, 7.8
129, 107, 2
130, 6, 4.4
131, 38, 2.2
132, 88, 0.8
133, 37, 8.2
134, 69, 2.4
135, 104, 6.2
136, 52, 0
137, 0, 5.2
138, 46, 7.9
139, 35, 6.8
140, 51, 7.3
141, 7, 8.1
142, 36, 3.3
143, 15, 6
144, 29, 9.9
145, 136, 9.9
146, 93, 5.9
147, 30, 1.3
148, 79, 9
149, 83, 2.6
150, 90, 8.4
151, 115, 9
152, 126, 7.6
153, 22, 3.6
154, 124, 4.5
155, 48, 7.9
156, 92, 8.7
157, 100, 4.8
158, 101, 5.9
159, 155, 3.6
160, 67, 4.2
161, 53, 0.6
162, 30, 1.3
163, 116, 2.1
164, 23, 1.9
165, 14, 2.1
166, 31, 3.9
167, 16, 4
168, 132, 0.5
169, 20, 2.7
170, 98, 8.4
171, 16, 2
172, 113, 2.2
173, 50, 9.6
174, 2, 3
175, 172, 9.2
176, 170, 7.2
177, 54, 2.5
178, 141, 2.2
179, 1, 4
180, 113, 9.8
181, 6, 9.8
182, 130, 2.4
183, 174, 0.9
184, 136, 1.9
185, 105, 3.2
186, 100, 9.4
187, 12, 7.9
188, 140, 7.3
189, 100, 5
190, 142, 6
191, 170, 7.9
192, 37, 9.3
193, 24, 2.1
194, 65, 0.4
195, 14, 6.1
196, 123, 2.6
197, 30, 4.4
198, 128, 0.2
199, 64, 8.4
200, 68, 4.2
201, 112, 2.8
202, 78, 7.2
203, 29, 5.8
204, 72, 3.6
205, 63, 5.3
206, 69, 0.3
207, 152, 3.3
208, 106, 9
209, 124, 6.7
210, 189, 6.8
211, 9, 0
212, 129, 8.8
213, 106, 4.9
214, 57, 0.3
215, 177, 6.3
216, 76, 5.3
217, 148, 8.6
218, 92, 5.2
219, 89, 7.5
220, 209, 5.7
221, 23, 3.6
222, 105, 1.4
223, 34, 6
224, 187, 2.8
225, 23, 5
226, 218, 5.6
227, 81, 9.4
228, 7, 9.9
229, 111, 3.9
230, 183, 2.8
231, 110, 0
232, 186, 4.7
233, 232, 5.9
234, 104, 3.5
235, 7, 3.9
236, 183, 1.5
237, 197, 0.4
238, 100, 4.9
239, 218, 8.5
240, 175, 4.3
241, 176, 7.7
242, 221, 3.8
243, 210, 4.9
244, 220, 6.7
245, 175, 9.2
246, 204, 4.3
247, 163, 2.9
248, 228, 8.2
249, 246, 4.1
250, 232, 2.6
251, 91, 6.1
252, 153, 6
253, 64, 2.3
254, 85, 8.1
255, 60, 9
256, 31, 9.6
257, 95, 7.7
258, 100, 9
259, 113, 2.4
260, 108, 1.4
261, 23, 0.5
